user_id,product_id,action,timestamp
U411,P100,click,2024-01-02 18:11:00
U331,P165,add_to_cart,2024-01-03 02:22:00
U411,P017,view,2024-01-03 08:56:00
U411,P038,view,2024-01-04 05:27:00
U324,P168,click,2024-01-04 11:00:00
U411,P088,add_to_cart,2024-01-05 12:33:00
U410,P079,view,2024-01-05 17:25:00
U070,P131,view,2024-01-05 17:25:00
U324,P165,view,2024-01-05 22:27:00
U070,P016,view,2024-01-06 00:41:00
U331,P157,view,2024-01-06 01:57:00
U411,P083,view,2024-01-06 04:49:00
U411,P088,add_to_cart,2024-01-06 07:06:00
U223,P138,view,2024-01-06 16:48:00
U324,P108,click,2024-01-06 17:49:00
U411,P009,view,2024-01-07 03:30:00
U331,P157,view,2024-01-07 07:29:00
U231,P102,view,2024-01-07 08:02:00
U324,P089,view,2024-01-07 09:31:00
U324,P117,view,2024-01-07 20:13:00
U411,P071,click,2024-01-07 20:23:00
U338,P066,click,2024-01-07 22:36:00
U070,P023,click,2024-01-08 01:44:00
U410,P185,click,2024-01-08 01:49:00
U481,P148,click,2024-01-08 06:05:00
U331,P022,view,2024-01-08 10:01:00
U324,P047,click,2024-01-08 12:06:00
U411,P083,add_to_cart,2024-01-09 09:22:00
U070,P078,click,2024-01-09 09:52:00
U223,P133,view,2024-01-09 12:20:00
U223,P033,view,2024-01-09 23:09:00
U411,P191,view,2024-01-10 00:15:00
U331,P056,view,2024-01-10 00:26:00
U231,P105,click,2024-01-10 01:14:00
U410,P022,view,2024-01-10 04:17:00
U262,P162,view,2024-01-10 04:20:00
U338,P101,click,2024-01-10 07:07:00
U411,P071,add_to_cart,2024-01-10 10:31:00
U262,P145,view,2024-01-10 11:54:00
U481,P110,add_to_cart,2024-01-10 18:34:00
U324,P173,view,2024-01-10 20:48:00
U365,P035,view,2024-01-10 23:16:00
U262,P162,view,2024-01-10 23:33:00
U307,P096,view,2024-01-11 00:06:00
U244,P051,view,2024-01-11 02:52:00
U244,P191,view,2024-01-11 03:10:00
U338,P085,view,2024-01-11 03:30:00
U070,P150,view,2024-01-11 05:19:00
U307,P155,add_to_cart,2024-01-11 06:47:00
U258,P070,click,2024-01-11 12:55:00
U410,P139,click,2024-01-11 20:37:00
U223,P016,add_to_cart,2024-01-12 00:05:00
U244,P179,add_to_cart,2024-01-12 01:12:00
U338,P145,view,2024-01-12 04:51:00
U070,P104,view,2024-01-12 10:10:00
U324,P109,view,2024-01-12 21:12:00
U231,P019,add_to_cart,2024-01-12 21:38:00
U331,P054,view,2024-01-12 21:54:00
U443,P073,view,2024-01-13 02:10:00
U244,P042,view,2024-01-13 02:57:00
U338,P041,view,2024-01-13 03:21:00
U411,P038,click,2024-01-13 04:49:00
U481,P036,view,2024-01-13 07:10:00
U244,P001,view,2024-01-13 09:18:00
U223,P026,add_to_cart,2024-01-13 13:24:00
U262,P018,view,2024-01-13 14:08:00
U365,P013,view,2024-01-13 15:24:00
U258,P122,add_to_cart,2024-01-13 16:14:00
U365,P124,click,2024-01-13 17:55:00
U338,P001,click,2024-01-13 18:29:00
U231,P100,click,2024-01-14 03:23:00
U307,P092,add_to_cart,2024-01-14 05:46:00
U331,P097,click,2024-01-14 07:18:00
U411,P052,click,2024-01-14 07:42:00
U223,P133,click,2024-01-14 11:49:00
U262,P176,click,2024-01-14 14:08:00
U070,P122,view,2024-01-14 14:41:00
U410,P031,add_to_cart,2024-01-14 16:31:00
U244,P167,view,2024-01-14 17:23:00
U443,P073,view,2024-01-14 17:33:00
U338,P145,view,2024-01-14 23:07:00
U324,P172,click,2024-01-15 01:19:00
U223,P109,view,2024-01-15 02:58:00
U331,P167,view,2024-01-15 03:52:00
U324,P113,view,2024-01-15 04:46:00
U481,P183,view,2024-01-15 10:25:00
U070,P093,click,2024-01-15 11:45:00
U244,P135,add_to_cart,2024-01-15 15:29:00
U324,P047,view,2024-01-15 18:13:00
U231,P146,click,2024-01-15 21:16:00
U370,P155,view,2024-01-15 21:23:00
U070,P146,view,2024-01-15 21:33:00
U244,P158,view,2024-01-16 00:01:00
U231,P016,click,2024-01-16 00:05:00
U481,P026,view,2024-01-16 00:10:00
U258,P054,click,2024-01-16 01:41:00
U200,P140,click,2024-01-16 03:19:00
U443,P147,view,2024-01-16 05:39:00
U307,P140,view,2024-01-16 09:17:00
U365,P026,view,2024-01-16 11:36:00
U223,P014,view,2024-01-16 13:17:00
U231,P125,view,2024-01-16 21:33:00
U253,P029,view,2024-01-16 22:28:00
U262,P108,view,2024-01-17 00:28:00
U411,P163,view,2024-01-17 01:29:00
U365,P129,click,2024-01-17 02:19:00
U001,P027,view,2024-01-17 03:38:00
U370,P012,view,2024-01-17 04:14:00
U370,P023,add_to_cart,2024-01-17 07:09:00
U258,P091,view,2024-01-17 08:22:00
U324,P056,view,2024-01-17 09:20:00
